iter	RMSE
0	17.80666248
1	17.65488607
2	17.5676606
3	17.40269343
4	17.25352724
5	17.11568278
6	16.98129708
7	16.85139762
8	16.70939974
9	16.6104952
10	16.48123515
11	16.37410497
12	16.24515821
13	16.1279836
14	16.01818118
15	15.90444156
16	15.80502984
17	15.69435665
18	15.59962518
19	15.5386101
20	15.46618725
21	15.40102675
22	15.3333819
23	15.28644852
24	15.23479683
25	15.16636544
26	15.10253659
27	15.06450959
28	15.02102541
29	14.94689413
30	14.86640753
31	14.80929132
32	14.7363749
33	14.67733011
34	14.60365321
35	14.55794605
36	14.50372596
37	14.43582975
38	14.38742262
39	14.33544535
40	14.28209918
41	14.22274925
42	14.1751904
43	14.11903587
44	14.06541889
45	14.01637534
46	13.95960934
47	13.93061512
48	13.85136458
49	13.82217776
50	13.77190165
51	13.72832563
52	13.67885277
53	13.64318652
54	13.60053424
55	13.54045728
56	13.50034764
57	13.4659666
58	13.38959319
59	13.33473264
60	13.27078573
61	13.2289039
62	13.17442967
63	13.15320507
64	13.09336928
65	13.06160386
66	12.97743908
67	12.93615864
68	12.90023538
69	12.85208312
70	12.80268875
71	12.76736484
72	12.70698912
73	12.67565895
74	12.63995943
75	12.62828407
76	12.6088275
77	12.55618315
78	12.51749789
79	12.48600215
80	12.44355934
81	12.3995709
82	12.37790403
83	12.3427956
84	12.32698416
85	12.27469785
86	12.21318015
87	12.18245716
88	12.1499557
89	12.1017651
90	12.07298039
91	12.03487546
92	12.00644524
93	11.95747919
94	11.94071235
95	11.91109369
96	11.84377798
97	11.80516196
98	11.7731956
99	11.75623404
100	11.69691977
101	11.66262308
102	11.63182043
103	11.59251852
104	11.55225184
105	11.52781787
106	11.49512127
107	11.45225034
108	11.44297742
109	11.41872475
110	11.3591299
111	11.31717278
112	11.28798917
113	11.26447471
114	11.23406105
115	11.17950391
116	11.15092704
117	11.11062333
118	11.08113021
119	11.04804954
120	10.99919134
121	10.96759089
122	10.93853806
123	10.90697039
124	10.87571193
125	10.85125301
126	10.81851527
127	10.78782936
128	10.77601046
129	10.74491414
130	10.72655934
131	10.68693094
132	10.64140341
133	10.61817986
134	10.60013478
135	10.56521279
136	10.51556983
137	10.48213606
138	10.45048036
139	10.39951063
140	10.37967507
141	10.35493826
142	10.30884658
143	10.2898715
144	10.26223468
145	10.24193217
146	10.2067153
147	10.17264094
148	10.14827747
149	10.12920926
150	10.10483667
151	10.07839502
152	10.05367414
153	10.0346406
154	9.996549404
155	9.987085415
156	9.95547209
157	9.922682966
158	9.901908963
159	9.883032132
160	9.84617598
161	9.807881637
162	9.781623985
163	9.732229752
164	9.706453904
165	9.683467265
166	9.661077284
167	9.646379886
168	9.626083354
169	9.605801448
170	9.589693675
171	9.549721457
172	9.499646918
173	9.47563417
174	9.455636798
175	9.447331899
176	9.426929102
177	9.399730874
178	9.379270488
179	9.349491274
180	9.298149608
181	9.259949889
182	9.244071317
183	9.203207309
184	9.195532463
185	9.177841041
186	9.163731242
187	9.150080983
188	9.104203204
189	9.084924581
190	9.048121863
191	9.024533612
192	9.009435502
193	8.99149961
194	8.963760487
195	8.924946729
196	8.888200898
197	8.853020611
198	8.83635926
199	8.820236447
200	8.808747278
201	8.781017844
202	8.74150332
203	8.707854181
204	8.671910547
205	8.65832745
206	8.623158588
207	8.616430706
208	8.599579463
209	8.567371499
210	8.550541709
211	8.536524522
212	8.518022225
213	8.493273556
214	8.465061519
215	8.426447284
216	8.385936793
217	8.365433872
218	8.329515645
219	8.31646767
220	8.27815295
221	8.249126405
222	8.212129699
223	8.184115359
224	8.172357972
225	8.14079757
226	8.128084274
227	8.100691329
228	8.095842593
229	8.078719754
230	8.051948658
231	8.032356642
232	8.002750427
233	7.982844644
234	7.95109778
235	7.929727459
236	7.908481217
237	7.879467588
238	7.852814843
239	7.836075601
240	7.799633931
241	7.782330042
242	7.765909913
243	7.754528653
244	7.731446028
245	7.708063228
246	7.694653461
247	7.657449947
248	7.644862907
249	7.638486553
250	7.615913432
251	7.585521459
252	7.560436671
253	7.554635455
