iter	RMSE
254	7.541546313
255	7.501411414
256	7.485163383
257	7.462771339
258	7.439632984
259	7.43251283
260	7.413275738
261	7.396671234
262	7.380658092
263	7.360684062
264	7.337380009
265	7.328832783
266	7.297987174
267	7.28295167
268	7.262170573
269	7.251487238
270	7.223682282
271	7.209413719
272	7.196680937
273	7.174845695
274	7.147697
275	7.123984509
276	7.109313198
277	7.102129478
278	7.08504937
279	7.071392462
280	7.056688921
281	7.03556975
282	7.010128958
283	6.998302731
284	6.96951245
285	6.96018823
286	6.941795393
287	6.922587187
288	6.913925639
289	6.894566503
290	6.878049789
291	6.870523729
292	6.849446376
293	6.826900045
294	6.803093055
295	6.783660307
296	6.775184855
297	6.754101501
298	6.728768142
299	6.71942051
300	6.700731454
301	6.689264028
302	6.667706769
303	6.658725028
304	6.63967549
305	6.627610322
306	6.604752749
307	6.594861626
308	6.578579796
309	6.569468413
310	6.56023804
311	6.550616188
312	6.529692851
313	6.525049986
314	6.504311779
315	6.499909481
316	6.487724588
317	6.480002872
318	6.466405515
319	6.462762816
320	6.452873747
321	6.4389713
322	6.431482917
323	6.412247696
324	6.401817388
325	6.388367369
326	6.370172442
327	6.360043723
328	6.338173057
329	6.327543587
330	6.319552554
331	6.302533319
332	6.290225886
333	6.272933515
334	6.248991056
335	6.232713295
336	6.223523018
337	6.219602233
338	6.201993674
339	6.198779363
340	6.195990403
341	6.173085581
342	6.147785992
343	6.140097763
344	6.12621068
345	6.12329233
346	6.117090637
347	6.106374498
348	6.085421188
349	6.082269021
350	6.062563588
351	6.05148983
352	6.048493219
353	6.040814808
354	6.038050236
355	6.034136563
356	6.013269531
357	6.008595244
358	5.985362761
359	5.972517569
360	5.948719462
361	5.932482155
362	5.929290108
363	5.924507143
364	5.903617176
365	5.900359562
366	5.889273382
367	5.868441454
368	5.866549126
369	5.845132087
370	5.828811599
371	5.803839744
372	5.797077405
373	5.782468051
374	5.769570311
375	5.761991421
376	5.75839296
377	5.755534805
378	5.745322582
379	5.742396731
380	5.731336069
381	5.71795633
382	5.697484425
383	5.673583369
384	5.662405889
385	5.648320768
386	5.63871861
387	5.635127706
388	5.622263162
389	5.619548874
390	5.602461824
391	5.589942431
392	5.588351043
393	5.576515409
394	5.568045931
395	5.564852857
396	5.562335055
397	5.553892613
398	5.546171523
399	5.544695681
400	5.534506924
401	5.516321141
402	5.500850403
403	5.48690959
404	5.470672555
405	5.469188471
406	5.460879084
407	5.445712452
408	5.436514553
409	5.418318374
410	5.409769704
411	5.404310924
412	5.393179434
413	5.378405807
414	5.365124259
415	5.348160502
416	5.337261959
417	5.321912897
418	5.320307998
419	5.312713319
420	5.306486096
421	5.298542749
422	5.289300165
423	5.279712664
424	5.270832709
425	5.258312503
426	5.243772498
427	5.239474719
428	5.228918643
429	5.223780572
430	5.209684765
431	5.203765099
432	5.199636211
433	5.186996347
434	5.170994769
435	5.158856105
436	5.157397878
437	5.135034112
438	5.126941272
439	5.108536668
440	5.095824533
441	5.090685529
442	5.081410343
443	5.074904757
444	5.063988739
445	5.058969272
446	5.052442034
447	5.040982293
448	5.035596516
449	5.030385915
450	5.0133121
451	5.006907683
452	4.9961143
453	4.990076079
454	4.986603765
455	4.979770234
456	4.975264435
457	4.972606835
458	4.962734215
459	4.950654951
460	4.940371347
461	4.933437197
462	4.930821677
463	4.920188142
464	4.902222537
465	4.900017983
466	4.891723718
467	4.87252613
468	4.857172452
469	4.851402376
470	4.846002988
471	4.833666803
472	4.823990456
473	4.817662567
474	4.811431335
475	4.799840272
476	4.794173226
477	4.792385925
478	4.786575775
479	4.78060949
480	4.775453299
481	4.77280534
482	4.765816068
483	4.759217378
484	4.751299525
485	4.74435619
486	4.738569014
487	4.723057625
488	4.710603433
489	4.703054126
490	4.701643139
491	4.683292755
492	4.67382554
493	4.664436798
494	4.658957072
495	4.653789406
496	4.636287725
497	4.624553568
498	4.615166547
499	4.610241587
500	4.605573165
501	4.594647774
502	4.583064359
503	4.57700776
504	4.566177326
505	4.561584909
506	4.5561051
507	4.551470317
508	4.538312818
509	4.533774761
510	4.528604304
511	4.526228749
512	4.520260112
513	4.513367381
514	4.502949076
515	4.493516471
516	4.491883832
517	4.4847443
518	4.482774759
519	4.473867311
520	4.464765905
521	4.448405875
522	4.430942075
523	4.423301516
524	4.409186437
525	4.400325814
526	4.393551016
527	4.388834325
528	4.383529165
529	4.37270044
530	4.369041698
531	4.362090605
532	4.359867817
533	4.352147596
534	4.343538386
535	4.327382116
536	4.325885296
537	4.321253238
538	4.30554944
539	4.304252469
540	4.298911074
541	4.29108468
542	4.284366793
543	4.278376618
544	4.271979506
545	4.264739849
546	4.258428209
547	4.255710585
548	4.243233847
549	4.242334037
550	4.24037518
551	4.235491806
552	4.223495173
553	4.220252545
554	4.214307672
555	4.209435147
556	4.200487297
557	4.198970446
558	4.192088651
559	4.184060732
560	4.17667189
561	4.171538058
562	4.165044155
563	4.148743912
564	4.135317813
565	4.13283461
566	4.127410244
567	4.121893116
568	4.115833766
569	4.107735288
570	4.104730414
571	4.094942079
572	4.083167857
573	4.072687939
574	4.060788198
575	4.053450847
576	4.052291108
577	4.049370661
578	4.042164814
579	4.033487827
580	4.021508532
581	4.009042243
582	3.997113083
583	3.996476076
584	3.991416478
585	3.979913578
586	3.966023118
587	3.959207549
588	3.95247215
589	3.95091976
590	3.948810633
591	3.946582328
592	3.939709447
593	3.935600914
594	3.927467364
595	3.922650682
596	3.919070894
597	3.918242726
598	3.911872185
599	3.907416584
600	3.897720637
601	3.891841065
602	3.883806607
603	3.874530498
604	3.868199279
605	3.864537657
606	3.85703825
607	3.855257512
608	3.851071666
609	3.845422364
610	3.842588981
611	3.835817584
612	3.822231096
613	3.815007515
614	3.811378645
615	3.809415571
616	3.801103056
617	3.794344865
618	3.789539723
619	3.782370129
620	3.780817992
621	3.772649054
622	3.761723255
623	3.755091192
624	3.744065218
625	3.739345221
626	3.733929052
627	3.726257703
628	3.725304037
629	3.722623078
630	3.720577087
631	3.715672147
632	3.713640496
633	3.705274013
634	3.70047987
635	3.691333883
636	3.683395462
637	3.676503122
638	3.67029846
639	3.665373534
640	3.658576833
641	3.651815563
642	3.648385128
643	3.641310195
644	3.638563453
645	3.634115268
646	3.62390719
647	3.620875152
648	3.616694263
649	3.615970388
650	3.609900057
651	3.606607975
652	3.603934848
653	3.601717455
654	3.594461816
655	3.581599261
656	3.577246164
657	3.56786455
658	3.559150018
659	3.544740414
660	3.538769707
661	3.531892913
662	3.527073233
663	3.523238768
664	3.511490775
665	3.504894896
666	3.503376866
667	3.501994003
668	3.492531152
669	3.49153152
670	3.484638479
671	3.476212706
672	3.471953568
673	3.468077337
674	3.457893408
675	3.45500109
676	3.44911323
677	3.439025396
678	3.438376281
679	3.437196796
680	3.43176584
681	3.425774585
682	3.419204822
683	3.415497634
684	3.413040894
685	3.404561327
686	3.401012166
687	3.399088347
688	3.396907683
689	3.393754268
690	3.385934143
691	3.382727565
692	3.381540005
693	3.379965166
694	3.377256186
695	3.371564138
696	3.371015773
697	3.367986576
698	3.36197031
699	3.35809938
